full_name,a,e,G,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,neo,pha,moid
       (2001 XE92),3.067385414195497,0.3339299414322366,,22.74696364428524,65.80477422057547,317.0512347629032,2.043093582483098,4.091677245907896,5.37230578793025,5899.0,0,144,16.6,,,,,,,,,,,N,N,1.09896
125908 (2001 XE220),2.347453251140769,0.1057368468552477,,3.560972263203178,63.48362935900585,72.60635645838015,2.099240946225044,2.595665556056494,3.5966951602394,7051.0,0,491,16.5,3.159,,0.049,,,,,,,,N,N,1.1168
       (2013 AB80),2.368889071674952,0.2686409378891697,,6.594365584216899,118.3846886551543,274.8726368980722,1.732508489704789,3.005269653645116,3.6460724060391,2475.0,2,18,18.721,,,,,,,,,,,N,N,0.753388
       (2017 YO4),2.236089610284098,0.8295687422119374,,7.39693468654526,189.6597736619699,26.75780527142218,0.3810995648075374,4.091079655760658,3.34381319986603,42.0,6,46,20.6,,,,,,,,,,,Y,N,0.0857981
328361 (2008 OX10),2.921419454950457,0.1280552257523161,,9.43521464358934,254.0295487809243,69.11413868924586,2.547316427129568,3.295522482771346,4.99343128501629,5637.0,0,290,15.2,,,,,,,,,,,N,N,1.55268
       (2015 TO354),2.83058435571313,0.1102779608849337,,12.11530920435579,81.28367688665178,286.3385130010603,2.518433284852292,3.142735426573968,4.7623614639537,87.0,4,20,17.9,,,,,,,,,,,N,N,1.55066
479343 (2013 WY48),2.193479078592096,0.115825400733921,,8.50282393126935,350.5775378822749,74.0536166119133,1.939418485312695,2.447539671871498,3.24869131165876,5791.0,0,125,17.7,,,,,,,,,,,N,N,0.971405
528854 (2009 BA193),3.105849966216478,0.04554493961879197,,1.992002723438646,109.6246154974284,338.7260434194943,2.964394217040121,3.247305715392834,5.47367378328512,4034.0,0,61,17.07,,,,,,,,,,,N,N,1.98092
       (2008 GT36),2.639807850140192,0.2174020218701159,,14.06183518566712,192.7858085122123,32.09564295269879,2.06590828617111,3.213707414109273,4.28910498134658,3366.0,1,32,17.6,,,,,,,,,,,N,N,1.07207
142480 (2002 TP21),2.634707130618565,0.1255521021237085,,0.4711298314852624,348.4702639414164,7.899210325950217,2.30391411188908,2.96550014934805,4.27667967357652,7115.0,0,368,16.3,,,,,,,,,,,N,N,1.29857
256419 (2007 BH21),2.99442359999053,0.02581474282440247,,10.22043559957501,100.3701079664022,234.81057547,2.917123324849453,3.071723875131606,5.18176910920787,9510.0,0,224,15.6,,,,,,,,,,,N,N,1.9148
343918 (2011 JM29),3.224091276279178,0.2067606262890919,,16.13249830979042,235.5659092406354,82.86954198260754,2.557476144782497,3.890706407775859,5.78920855207546,4488.0,0,188,15.8,,,,,,,,,,,N,N,1.6063
       (2016 CV54),3.221286645235172,0.07266951450982587,,10.47587592298161,119.2088688123102,106.1049117864732,2.987197308628947,3.455375981841398,5.78165616238961,2681.0,0,31,17.238,,,,,,,,,,,N,N,1.99929
163715 (2003 HQ2),2.267710935295933,0.2292803369468261,,6.691612481882764,51.87019328490597,254.3646866638607,1.747769407953279,2.787652462638587,3.41499241748293,6781.0,0,540,16.2,,,,,,,,,,,N,N,0.746878
       (2008 WY49),2.55470374383542,0.1276774848266662,,3.302307288575261,117.4169017475064,303.3432416983223,2.228525595345246,2.880881892325594,4.08337268129122,3484.0,0,71,17.256,,,,,,,,,,,N,N,1.24304
370703 (2004 PS19),2.715456573287698,0.3321230472034827,,10.16516655398704,350.5395443454083,26.59277648211179,1.813590861618661,3.617322284956735,4.47478831060935,8565.0,0,212,16.6,,,,,,,,,,,N,N,0.819731
320424 (2007 VC64),2.289608316744844,0.1018996973835393,,6.230184000318828,48.63709113970233,67.59306343253675,2.056297922141709,2.522918711347978,3.46457520695543,8767.0,0,254,16.9,,,,,,,,,,,N,N,1.08236
       (2013 YH93),2.329192838945084,0.09599156710242922,,5.030034023598647,308.0564623428054,173.5054137079195,2.105609968250989,2.552775709639178,3.55480982294683,22.0,7,13,18.646,,,,,,,,,,,N,N,1.1218
384652 (2011 FY6),2.316713521658762,0.07544626486108458,,8.100974637464883,355.5083274686769,319.6528838723292,2.141926139696439,2.491500903621085,3.5262792570527,5665.0,0,119,17.5,,,,,,,,,,,N,N,1.13526
298417 (2003 SK325),3.954911035767987,0.1642244595558672,,3.742960305744729,286.4093969933147,83.41334071730849,3.305417908327454,4.60440416320852,7.8652635619367,5831.0,0,70,15.7,,,,,,,,,,,N,N,2.30719
       (2013 SV40),2.984206570229601,0.1929585101128082,,8.017670458680566,313.9384271745009,71.56733696361086,2.408378516569244,3.560034623889958,5.15527130335285,3620.0,1,35,17.4,,,,,,,,,,,N,N,1.42598
347630 (2001 SZ191),2.338727815447576,0.1898901801354144,,0.4945475688875457,292.7452277776284,91.04514988602384,1.894626369284532,2.782829261610621,3.57666054273709,8166.0,0,83,18.4,,,,,,,,,,,N,N,0.897502
142948 (2002 VQ72),2.533508545091928,0.09224281324440176,,3.913486440483747,125.0002428459265,345.9694342941178,2.299810589513917,2.767206500669939,4.03266143850513,5983.0,0,353,16.4,,,,,,,,,,,N,N,1.3169
232910 (2004 XH137),2.690352427453163,0.0696052907758463,,7.686853184259371,317.8767552958991,167.681908033617,2.503089664450782,2.877615190455544,4.41287844362685,6662.0,0,259,16.2,3.068,,0.062,,,,,,,,N,N,1.51913
361702 (2007 VN195),2.320540913364529,0.146921489112628,,3.054375980524212,248.319603755093,14.14420063778859,1.979603586826234,2.661478239902823,3.53502139842155,4047.0,0,85,17.7,1.596,,0.069,,,,,,,,N,N,0.963839
       (2013 PR82),3.113094270135957,0.1635043534330368,,10.40140085043511,186.0858719948612,254.1765307681263,2.604089804321286,3.622098735950628,5.49283572135311,5309.0,0,50,16.7,,,,,,,,,,,N,N,1.64297
350355 (2012 UJ123),2.420086410643826,0.2022394238049258,,2.933695516716623,265.8777555423031,132.345885004272,1.930649529397088,2.909523291890565,3.76490924490689,5498.0,0,68,18.1,,,,,,,,,,,N,N,0.939186
376273 (2011 FG44),2.588639512185779,0.09616723814768896,,14.27887490246496,184.6612125232344,254.1355845010096,2.339697199738892,2.837581824632666,4.16500537300759,4423.0,0,103,16.9,,,,,,,,,,,N,N,1.39779
  7300 Yoshisada (1992 YV2),2.734901059255295,0.1374705934319653,,11.80216543272523,264.6009162508061,147.1603846449295,2.358932587661759,3.110869530848831,4.5229379678465,16083.0,0,1734,12.5,6.612,,0.443,,,,,,,,N,N,1.37959
 75875 (2000 CQ26),2.664172264059215,0.2408272880778325,,3.125445949620917,155.4633512789712,280.6321132737436,2.022566882733655,3.305777645384775,4.34862197614544,7237.0,0,561,15.7,,,,,,,,,,,N,N,1.04044
 87673 (2000 RZ100),2.657952398598059,0.1048648800477519,,13.61703178155482,303.5776897865417,15.93622746020799,2.37922653914644,2.936678258049679,4.33340221099544,6737.0,0,718,15.1,2.861,,0.259,,,,,,,,N,N,1.36716
319028 (2005 VL19),2.758500102948398,0.1709260849537645,,4.823853249716738,204.5409956619463,131.7071310515973,2.287000480006872,3.229999725889925,4.58160568525814,7884.0,0,207,16.6,,,,,,,,,,,N,N,1.28032
       (2013 TR103),1.996413891505156,0.177971379033234,,5.087399812672944,218.7543151512372,145.105710514481,1.641109358112878,2.351718424897434,2.82087652665728,6217.0,0,50,19.7,,,,,,,,,,,N,N,0.64172
       (2016 CR272),2.653465767818895,0.1426374441088179,,16.61608648702175,334.0310168357942,126.3597081129235,2.274982192666966,3.031949342970825,4.32243465073555,83.0,5,16,17.4,,,,,,,,,,,N,N,1.32879
188537 (2004 RX291),3.146465451574194,0.09405024195853304,,9.498499366264904,224.2839139663063,164.9905150287045,2.850539614539476,3.442391288608912,5.58139364493228,9249.0,0,345,15.1,,,,,,,,,,,N,N,1.85675
       (2019 OD),2.387046359334334,0.7126791897620771,,0.8235702973450814,111.8695583500455,266.598923299427,0.6858480940394248,4.088244624629243,3.68807277916424,20.0,3,135,23.463,,,,,,,,,,,Y,N,0.00241555
 81072 (2000 EC80),2.544949616508995,0.1110266324152423,,14.08708376641118,352.1075445805957,61.81008438494788,2.262392430921539,2.827506802096451,4.06000889925243,7350.0,0,627,15.6,,,,,,,,,,,N,N,1.30493
       (2009 SY2),2.593136257708275,0.1673313987438857,,8.720766879314494,203.1616756283301,180.4919081811534,2.159223140572464,3.027049374844086,4.17586267877366,10.0,8,19,18.181,,,,,,,,,,,N,N,1.16209
       (2017 YJ6),2.540893056232701,0.3172475774946056,,13.05726219563687,80.95808673408085,287.9948461186323,1.734800889470012,3.34698522299539,4.05030550122547,1508.0,1,75,16.3,,,,,,,,,,,N,N,0.786602
264591 (2001 TE214),2.609509249242563,0.2179101810771334,,4.13823960976841,92.59562862033825,308.3519162259724,2.040870616217662,3.178147882267465,4.21547446614871,6327.0,0,232,17.1,,,,,,,,,,,N,N,1.05186
       (2015 VO91),2.3935328327191,0.1797522882478991,,4.012814720938384,299.0267088671138,121.344284335235,1.963289829041366,2.823775836396834,3.70311574014553,1600.0,3,31,18.3,,,,,,,,,,,N,N,0.979311
  6579 Benedix (1981 ES4),2.610700370024459,0.1819216301129793,,15.86989602514643,326.8263500954384,36.01122221140616,2.135757502973051,3.085643237075867,4.21836105038658,24009.0,0,1357,13.4,6.477,,0.201,,,,,,,,N,N,1.14808
 89096 (2001 TB190),2.293650811232797,0.1301479557595117,,5.02475032907142,3.417915996018809,243.1783228422817,1.995136846924703,2.592164775540891,3.47375475061669,8302.0,0,1128,14.9,2.765,,0.305,2.917,,,,,,,N,N,0.987841
232376 (2003 BU),2.415424059701314,0.0910713952854656,,15.17470859490531,94.33664020407292,64.07738906434598,2.195448020378232,2.635400099024397,3.75403471301889,6577.0,0,365,16.1,3.867,,0.057,,,,,,,,N,N,1.24986
197267 (2003 WL89),3.093611881436462,0.08261817177361634,,9.054503439972915,231.4429036979616,148.7050718937066,2.838023323615044,3.34920043925788,5.44135352325049,6248.0,0,280,15.5,,,,,,,,,,,N,N,1.84543
       (2015 BV514),1.897709023649553,0.1200806749110757,,24.70714908594498,115.6363103749008,278.8081554186111,1.669830843304876,2.125587203994229,2.61428322557974,14.0,7,11,18.847,,,,,,,,,,,N,N,0.803976
357519 (2004 RU98),3.13018981500486,0.196075875470914,,9.796481154917434,189.5785613049182,139.9899480499555,2.516435106637644,3.743944523372076,5.53814360989031,9324.0,0,154,16.4,3.771,,0.031,,,,,,,,N,N,1.51475
       (2016 EG20),2.69099405189732,0.1377582960410225,,10.90743586922828,271.1739824265723,269.5820608198854,2.320287296651418,3.061700807143221,4.41445718445982,2.0,9,11,18.002,,,,,,,,,,,N,N,1.35448
130806 (2000 TB66),2.365860516047223,0.07720900778774674,,7.409881243275011,23.48168787379779,185.8257416762851,2.18319477303901,2.548526259055436,3.63908254537481,6688.0,0,586,15.8,,,,,,,,,,,N,N,1.17844
       (2010 ER75),3.121146052449056,0.1635237723379221,,11.49861877514737,154.7827638577596,19.84873341367212,2.610764475934972,3.63152762896314,5.51415969946412,3186.0,0,67,16.6,3.406,,0.05,,,,,,,,N,N,1.6202
 66344 (1999 JS70),2.332609383220757,0.101651366251265,,7.788888885024491,78.02663132857981,197.4843536557597,2.095496452485846,2.569722313955667,3.56263417583135,7205.0,0,873,15.2,,,,,,,,,,,N,N,1.08012
148822 (2001 UQ132),2.648452503573469,0.1926976164808252,,1.709596395492309,211.9596983155729,223.9812431552244,2.138102018772188,3.158802988374751,4.31019070042939,7116.0,0,257,16.6,,,,,,,,,,,N,N,1.15354
282465 (2004 FF13),2.334690034323906,0.1886696647577528,,4.65949615706115,283.0240838013464,286.8994718747492,1.894204848234748,2.775175220413063,3.5674019596165,6612.0,0,355,16.6,,,,,,,,,,,N,N,0.895312
190277 (6227 P-L),2.674161660084884,0.2914193905831386,,2.957679867029642,304.3070015897197,32.42467293808507,1.894859098782153,3.453464221387616,4.37310282650162,21284.0,0,225,16.7,,,,,,,,,,,N,N,0.885306
278304 (2007 HD8),2.863783443635413,0.06314520777806813,,2.299126374906458,32.35367925890344,295.7949146930472,2.682949243055664,3.044617644215163,4.84639115336361,5091.0,0,118,16.9,,,,,,,,,,,N,N,1.67162
445624 (2011 SE211),2.372758196790937,0.204806867808446,,5.366014436765733,356.4315810916581,262.7309754359287,1.886801022439369,2.858715371142505,3.65500879054696,7119.0,0,117,17.5,,,,,,,,,,,N,N,0.880706
100061 (1992 EL5),3.007326834730672,0.09755153686403488,,4.961833590631077,79.19447378231492,14.00665070668063,2.713957480150242,3.300696189311103,5.21529821293127,9906.0,0,566,15.2,4.679,,0.088,,,,,,,,N,N,1.731
       (2016 QU90),3.067690321068567,0.141663422991268,,10.67131385749404,49.11554473580072,273.6813876549696,2.633110809508811,3.502269832628322,5.37310684165055,6347.0,0,166,15.3,,,,,,,,,,,N,N,1.64805
       (2011 UC10),2.410295316278121,0.2002292635799916,,2.266241957959861,342.6698083945197,33.92770389797477,1.92768366008945,2.892906972466792,3.74208447796245,4953.0,0,86,17.5,,,,,,,,,,,N,N,0.928796
